pu_zone,pickups
1,39
2,2
3,128
4,8
5,2
6,5
7,42248
8,27
9,213
10,465
11,97
13,14
14,508
15,71
16,181
17,3251
18,679
19,119
20,568
21,504
22,182
23,12
24,11871
25,12502
26,294
27,14
28,1247
29,759
30,1
31,198
32,171
33,18414
34,469
35,611
36,2042
37,1821
38,104
39,418
40,2027
41,98954
42,48776
43,57349
44,7
45,2
46,9
47,929
48,43
49,4019
50,9
51,278
52,5648
53,427
54,349
55,5505
56,1089
57,274
58,12
59,28
60,353
61,5322
62,1049
63,222
64,64
65,40287
66,18442
67,154
68,35
69,2885
70,1104
71,566
72,529
73,258
74,298447
75,203747
76,976
77,291
78,733
79,27
80,5861
81,89
82,55432
83,10331
84,1
85,593
86,147
87,16
88,5
89,1317
90,14
91,627
92,12277
93,9830
94,557
95,72873
96,139
97,43454
98,254
99,1
100,6
101,103
102,506
106,802
107,18
108,447
109,3
111,11
112,3893
113,7
114,11
115,4
116,19481
117,136
118,2
119,1319
120,173
121,703
122,726
123,282
124,99
125,19
126,413
127,2423
128,191
129,25571
130,33600
131,394
132,499
133,255
134,17317
135,645
136,600
137,20
138,470
139,62
140,14
141,20
142,25
143,15
144,11
145,3647
146,3924
147,352
148,11
149,169
150,541
151,46
152,11871
153,186
154,77
155,334
156,4
157,1603
158,7
159,2917
160,537
161,13
162,10
163,20
164,21
165,258
166,90247
167,1074
168,3067
169,1300
170,23
171,376
172,3
173,1959
174,648
175,67
176,4
177,597
178,121
179,6178
180,169
181,7980
182,426
183,111
184,32
185,511
186,23
187,5
188,2107
189,1953
190,571
191,762
192,785
193,6217
194,147
195,2999
196,10445
197,1093
198,671
200,160
201,22
202,225
203,77
205,277
206,72
207,83
208,182
209,6
210,4699
211,4
212,1016
213,468
214,3
215,775
216,1449
217,411
218,132
219,162
220,524
221,12
222,112
223,10051
224,7
225,2224
226,6555
227,391
228,1004
229,27
230,38
231,8
232,10
233,12
234,13
235,801
236,10409
237,11
238,37
239,37
240,96
241,498
242,636
243,5170
244,43677
245,7
246,13
247,4757
248,341
249,12
250,314
251,5
252,161
253,794
254,321
255,6574
256,3609
257,267
258,589
259,135
260,24259
261,11
262,198
263,1846
264,1235
265,975
