pu_zone,pickups
1,44
2,994
3,914691
4,1507704
5,119484
6,216595
7,4366851
8,15929
9,364614
10,1460052
11,471805
12,68478
13,2102233
14,2275600
15,288421
16,836854
17,3650189
18,1933622
19,357000
20,1240967
21,1077496
22,1428777
23,645672
24,643598
25,2505169
26,2178054
27,31995
28,1041779
29,800874
30,19671
31,166734
32,1052401
33,2070588
34,357573
35,2594536
36,3492716
37,4853600
38,478161
39,3107149
40,1043930
41,2851824
42,4004983
43,718309
44,164409
45,1158926
46,83168
47,1416714
48,4715286
49,2613597
50,2832285
51,1613025
52,667463
53,590056
54,242063
55,1100897
56,1261681
57,94517
58,139760
59,49932
60,961928
61,5844058
62,1551131
63,1339629
64,271747
65,2028695
66,1623764
67,733789
68,5294473
69,2106259
70,979200
71,1847726
72,2188898
73,426160
74,3074661
75,2788235
76,4664697
77,1248507
78,1797807
79,6502297
80,3592431
81,1167391
82,2938792
83,904482
84,181844
85,1341507
86,814818
87,2951412
88,1163180
89,3477955
90,3236875
91,2082753
92,2144861
93,344001
94,893197
95,2775673
96,58520
97,2777173
98,381615
99,8985
100,2750525
101,359380
102,1009621
105,84
106,907308
107,3784017
108,588012
109,271530
110,709
111,15095
112,3889167
113,2938606
114,3155072
115,334883
116,1994395
117,644089
118,439251
119,1389403
120,38165
121,926945
122,495973
123,1208213
124,609834
125,1583748
126,1283587
127,1533755
128,111314
129,3326359
130,2970971
131,668600
132,8044640
133,848995
134,931039
135,757831
136,1110440
137,2580133
138,8196496
139,793552
140,2669818
141,3029450
142,3209216
143,2367591
144,3497277
145,3516370
146,1148203
147,882762
148,4930774
149,969312
150,449181
151,1351109
152,1014119
153,404611
154,41800
155,1196407
156,541693
157,1301597
158,2955328
159,1851344
160,906090
161,5539932
162,3710260
163,3971425
164,4945143
165,1294681
166,1951758
167,1553461
168,2498894
169,1971445
170,4328872
171,816853
172,243864
173,1002727
174,1782412
175,318836
176,137479
177,1875350
178,447605
179,1488742
180,696163
181,4169741
182,1093996
183,556847
184,93536
185,1334398
186,3246888
187,280851
188,3268615
189,1540517
190,276379
191,1195521
192,533110
193,628203
194,66525
195,808108
196,1067952
197,1847081
198,2625860
199,263
200,819501
201,278935
202,311638
203,783978
204,105769
205,1743404
206,829350
207,83238
208,1346519
209,1072491
210,1318312
211,2844660
212,1084148
213,1997535
214,331039
215,1361571
216,2723978
217,668902
218,932390
219,803475
220,1485775
221,567234
222,511700
223,2086498
224,1060931
225,3603004
226,2613355
227,1034289
228,2076412
229,2876258
230,5748904
231,5331847
232,2083357
233,2751259
234,5002047
235,1777164
236,3387215
237,3783649
238,2373906
239,2946975
240,260324
241,1589423
242,1666766
243,2317266
244,3295950
245,317962
246,4943349
247,2006523
248,1045421
249,4547605
250,1036788
251,316982
252,532510
253,30058
254,1992131
255,4519190
256,3748770
257,634653
258,1375700
259,1352064
260,1848572
261,1746271
262,1753885
263,2483363
264,1
265,21373
