yellow,date,green,fhv,fhvhv,Juno,Lyft,Uber,Via,large_fhvhv,small_fhvhv,taxi_total,all_total
7696473,2019-01-01,672076,23159064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8368549,31527613.0
7049209,2019-02-01,615588,1707650,20159102.0,979266.0,4690916.0,13504994.0,983926.0,18195910.0,1963192.0,7664797,29531549.0
7866420,2019-03-01,643031,1475569,23864598.0,835215.0,4699040.0,17248340.0,1082003.0,21947380.0,1917218.0,8509451,33849618.0
7475969,2019-04-01,567852,1937850,21734822.0,740532.0,4290694.0,15657454.0,1046142.0,19948148.0,1786674.0,8043821,31716493.0
7598549,2019-05-01,545464,2073061,22329247.0,742053.0,4681802.0,15876126.0,1029266.0,20557928.0,1771319.0,8144013,32546321.0
6971350,2019-06-01,506223,2009900,21001990.0,674839.0,4999262.0,14397173.0,930716.0,19396435.0,1605555.0,7477573,30489463.0
6310376,2019-07-01,470712,1947788,20303312.0,658012.0,4682351.0,14043151.0,919798.0,18725502.0,1577810.0,6781088,29032188.0
6073089,2019-08-01,449693,1880335,20126113.0,619663.0,4698486.0,13926310.0,881654.0,18624796.0,1501317.0,6522782,28529230.0
6567633,2019-09-01,449015,1248520,20069321.0,625981.0,4611514.0,13964852.0,866974.0,18576366.0,1492955.0,7016648,28334489.0
7214110,2019-10-01,476385,1897856,21162290.0,407494.0,5346315.0,14509894.0,898587.0,19856209.0,1306081.0,7690495,30750641.0
6877817,2019-11-01,449506,1879487,21635568.0,105879.0,5144737.0,15611001.0,773951.0,20755738.0,879830.0,7327323,30842378.0
6896314,2019-12-01,455269,2044196,22243901.0,0.0,5430612.0,16105724.0,707565.0,21536336.0,707565.0,7351583,31639680.0
6405286,2020-01-01,447757,2028587,20569368.0,0.0,5274248.0,14582520.0,712600.0,19856768.0,712600.0,6853043,29450998.0
6299580,2020-02-01,398647,1913495,21725100.0,0.0,5339549.0,15743610.0,641941.0,21083159.0,641941.0,6698227,30336822.0
3007389,2020-03-01,223493,1441864,13392928.0,0.0,3219541.0,9836781.0,336606.0,13056322.0,336606.0,3230882,18065674.0
238002,2020-04-01,35642,566426,4312909.0,0.0,1144083.0,3102835.0,65991.0,4246918.0,65991.0,273644,5152979.0
348447,2020-05-01,57361,774970,6089999.0,0.0,1621495.0,4359377.0,109127.0,5980872.0,109127.0,405808,7270777.0
549831,2020-06-01,63111,1011867,7555193.0,0.0,2310860.0,5114308.0,130025.0,7425168.0,130025.0,612942,9180002.0
800437,2020-07-01,72255,1127489,9958454.0,0.0,2716099.0,7081522.0,160833.0,9797621.0,160833.0,872692,11958635.0
1007286,2020-08-01,81064,1184036,11096852.0,0.0,3072675.0,7856499.0,167678.0,10929174.0,167678.0,1088350,13369238.0
1340897,2020-09-01,87981,1271036,12106669.0,0.0,3116906.0,8847755.0,142008.0,11964661.0,142008.0,1428878,14806583.0
1681267,2020-10-01,95115,1254734,13268411.0,0.0,3323082.0,9797775.0,147554.0,13120857.0,147554.0,1776382,16299527.0
1508915,2020-11-01,88611,1206356,11596865.0,0.0,3090686.0,8375281.0,130898.0,11465967.0,130898.0,1597526,14400747.0
1461929,2020-12-01,83129,1164605,11637123.0,0.0,3023412.0,8486416.0,127295.0,11509828.0,127295.0,1545058,14346786.0
1369764,2021-01-01,76516,1154112,11908468.0,0.0,3094325.0,8704128.0,110015.0,11798453.0,110015.0,1446280,14508860.0
1371696,2021-02-01,64570,1037692,11613942.0,0.0,3237166.0,8290758.0,86018.0,11527924.0,86018.0,1436266,14087900.0
1925130,2021-03-01,83831,1302665,14227393.0,0.0,3946703.0,10173376.0,107314.0,14120079.0,107314.0,2008961,17539019.0
2171218,2021-04-01,86931,1267018,14111371.0,0.0,3768879.0,10238382.0,104110.0,14007261.0,104110.0,2258149,17636538.0
2507077,2021-05-01,88183,1263660,14719171.0,0.0,3814434.0,10808415.0,96322.0,14622849.0,96322.0,2595260,18578091.0
2834205,2021-06-01,86747,1311346,14961892.0,0.0,4130660.0,10747390.0,83842.0,14878050.0,83842.0,2920952,19194190.0
2822113,2021-07-01,83675,1240014,15027174.0,0.0,4229852.0,10704366.0,92956.0,14934218.0,92956.0,2905788,19172976.0
2788300,2021-08-01,83491,1203018,14499696.0,0.0,4209240.0,10196747.0,93709.0,14405987.0,93709.0,2871791,18574505.0
2963779,2021-09-01,95707,1179412,14886055.0,0.0,4240481.0,10557442.0,88132.0,14797923.0,88132.0,3059486,19124953.0
