year,company,trips,shared
2019,Uber,164845019,28314599.0
2019,Lyft,53275729,13640682.0
2019,Via,10120582,9519999.0
2019,Juno,6388934,0.0
2020,Uber,103184679,4327512.0
2020,Lyft,37252636,3172456.0
2020,Via,2872556,1613957.0
2021,Uber,126129064,4.0
2021,Lyft,47575769,0.0
2021,Via,891819,287462.0
2022,Uber,153847310,1223844.0
2022,Lyft,58568773,627518.0
2023,Uber,167127330,5424280.0
2023,Lyft,65362690,829209.0
2024,Uber,179125798,8671442.0
2024,Lyft,60344650,0.0
2025,Uber,175989546,6885695.0
2025,Lyft,67600138,8541.0
