pu_zone,pickups
115.0,52715
112.0,26370
244.0,28017
61.0,90271
236.0,36256
193.0,19010
9.0,15920
219.0,7628
263.0,23329
158.0,21388
76.0,68758
21.0,27797
147.0,8399
17.0,45010
69.0,25692
29.0,68028
215.0,17829
250.0,10664
129.0,93982
102.0,12102
32.0,11903
165.0,54997
208.0,10722
261.0,16948
141.0,30351
162.0,47026
248.0,9317
70.0,26006
56.0,79425
53.0,16909
92.0,125069
73.0,23331
192.0,21341
55.0,59152
19.0,6575
85.0,15260
185.0,16637
50.0,32485
151.0,13868
174.0,21511
18.0,16053
117.0,24260
95.0,47305
247.0,17029
186.0,26627
204.0,11258
150.0,19858
35.0,46364
3.0,9806
212.0,12838
33.0,26214
207.0,419
31.0,1912
67.0,10079
58.0,651
64.0,5553
93.0,4576
190.0,3001
99.0,630
2.0,75
111.0,126
105.0,17
23.0,63171
140.0,48387
145.0,26434
114.0,27804
239.0,25431
65.0,27841
170.0,60791
72.0,37752
179.0,76306
7.0,90588
48.0,47794
106.0,10448
224.0,13144
205.0,21600
42.0,44693
97.0,42548
123.0,70158
116.0,14070
243.0,12475
213.0,22013
119.0,17240
74.0,38575
142.0,32588
90.0,29983
249.0,36368
206.0,160025
1.0,14381
138.0,67260
6.0,32908
245.0,58945
214.0,69847
132.0,77138
5.0,12726
188.0,58024
260.0,24496
83.0,14237
182.0,11042
172.0,25701
197.0,22025
20.0,9654
152.0,11788
233.0,30242
12.0,480
211.0,20057
166.0,18204
180.0,4967
36.0,22460
11.0,12855
167.0,18331
241.0,10865
122.0,6695
77.0,22026
259.0,13110
258.0,13289
157.0,9801
183.0,4513
195.0,10355
262.0,15770
134.0,15574
196.0,26972
154.0,746
253.0,641
8.0,471
120.0,491
110.0,30
104.0,1
82.0,69645
163.0,38389
232.0,33486
52.0,4561
37.0,45902
227.0,29465
223.0,68359
200.0,6136
89.0,54619
228.0,26636
139.0,9164
130.0,30788
231.0,55116
177.0,24774
220.0,10179
237.0,36580
113.0,26478
68.0,52808
22.0,26517
181.0,42193
86.0,30607
14.0,33772
189.0,13312
198.0,18280
125.0,13805
100.0,28305
135.0,13088
43.0,7403
91.0,34199
201.0,10630
168.0,23796
159.0,25639
137.0,60223
246.0,41171
144.0,30036
164.0,39228
173.0,53353
229.0,29717
149.0,42387
118.0,44423
210.0,59736
222.0,25576
16.0,24307
24.0,5642
94.0,7891
15.0,28568
251.0,41357
133.0,15923
257.0,8199
202.0,6095
218.0,13643
101.0,8020
148.0,39356
108.0,24898
47.0,16162
60.0,8271
28.0,13769
54.0,2255
175.0,7818
84.0,30110
40.0,6151
30.0,299
27.0,746
240.0,1975
217.0,9164
59.0,531
96.0,661
264.0,179
169.0,29011
161.0,60646
143.0,27292
49.0,29122
238.0,23838
255.0,30273
107.0,48126
256.0,32590
63.0,13524
25.0,31982
75.0,48575
216.0,26362
41.0,26658
78.0,21589
71.0,29945
80.0,29857
126.0,9659
45.0,21435
88.0,27797
155.0,24118
127.0,7565
226.0,36447
26.0,33392
79.0,58649
39.0,62233
235.0,18032
46.0,1305
62.0,30425
194.0,1872
252.0,34550
87.0,37224
234.0,42543
209.0,14992
4.0,19820
57.0,3215
221.0,124961
146.0,16822
44.0,24800
230.0,72870
171.0,43094
265.0,96046
98.0,6826
242.0,39326
51.0,20541
66.0,13620
38.0,5684
225.0,46185
254.0,20151
136.0,9793
128.0,1204
13.0,29170
131.0,13256
121.0,27035
10.0,15422
81.0,10228
191.0,14885
178.0,7996
156.0,52942
160.0,7787
187.0,32236
176.0,18057
203.0,7475
109.0,28125
124.0,7493
153.0,2031
184.0,585
34.0,2099
