pu_zone,pickups
230.0,9908738
161.0,13116568
13.0,2115592
238.0,6375290
143.0,3693428
79.0,7787811
4.0,575611
107.0,6832003
87.0,1953726
234.0,8693772
41.0,1186550
226.0,399982
75.0,2412771
225.0,115757
171.0,13518
235.0,40508
209.0,632852
216.0,108356
203.0,20207
62.0,59078
88.0,1009876
25.0,234815
71.0,62057
254.0,41191
146.0,237948
131.0,23760
124.0,20271
10.0,121110
66.0,176540
191.0,34048
81.0,21832
153.0,8087
39.0,97018
49.0,113570
155.0,34208
51.0,48202
121.0,25401
194.0,17828
80.0,159083
45.0,535622
265.0,409291
63.0,34453
127.0,50874
126.0,20759
26.0,38067
78.0,32173
242.0,34910
98.0,9402
178.0,8492
38.0,16302
221.0,1580
160.0,20444
255.0,273167
256.0,217454
136.0,25327
46.0,2524
169.0,34046
44.0,3516
252.0,10528
156.0,914
34.0,19284
57.0,2732
128.0,4828
187.0,400
109.0,404
184.0,1607
176.0,283
246.0,5114250
229.0,5933009
237.0,14339785
164.0,6966893
43.0,4919185
264.0,2231407
125.0,1610720
82.0,107720
68.0,7858326
24.0,944873
113.0,4468797
100.0,5369463
137.0,3829033
163.0,8469296
231.0,4546848
86.0,25854
148.0,3476463
14.0,56108
223.0,131435
52.0,109044
168.0,106395
37.0,141800
91.0,67282
218.0,39005
173.0,20149
202.0,20642
40.0,92194
16.0,12782
257.0,19835
181.0,218642
232.0,543467
144.0,2964733
89.0,116530
54.0,13718
210.0,31744
149.0,19549
60.0,17880
222.0,33361
139.0,20667
159.0,55112
59.0,983
28.0,50050
228.0,60262
189.0,69011
22.0,26627
130.0,120098
177.0,66266
94.0,14147
108.0,15920
227.0,21467
133.0,30069
220.0,27639
135.0,25229
198.0,45908
200.0,15997
101.0,11470
96.0,2663
15.0,7260
47.0,28116
217.0,26596
175.0,7634
118.0,1499
240.0,3999
27.0,1025
251.0,704
201.0,8013
30.0,718
84.0,288
162.0,10616021
186.0,10625241
236.0,12957400
50.0,2356617
263.0,6186074
151.0,2809878
261.0,1627705
129.0,169169
141.0,7622285
193.0,244572
158.0,2840661
244.0,390817
95.0,88421
76.0,146606
212.0,24495
33.0,273944
35.0,83526
29.0,20592
102.0,18222
93.0,99272
21.0,19125
250.0,24042
219.0,47453
85.0,44160
215.0,66889
208.0,21283
32.0,19493
18.0,27569
165.0,35502
17.0,115790
248.0,23564
67.0,14035
55.0,40340
61.0,199091
147.0,18441
70.0,753805
117.0,26135
185.0,20094
247.0,69051
69.0,55611
115.0,1503
56.0,41017
58.0,1645
92.0,42327
190.0,13765
174.0,27541
53.0,11685
19.0,13699
112.0,155485
207.0,24021
3.0,14702
111.0,574
64.0,8290
73.0,5049
192.0,10004
9.0,8672
150.0,10496
2.0,355
31.0,3834
105.0,184
99.0,196
204.0,235
199.0,111
142.0,9731300
170.0,9326835
132.0,12622518
138.0,8390550
48.0,8869494
90.0,5271140
249.0,6573756
140.0,6211734
262.0,4180558
114.0,4064091
233.0,3896904
211.0,2414312
123.0,24272
74.0,1149649
239.0,8561278
42.0,598826
224.0,562015
213.0,51295
12.0,123158
134.0,43517
7.0,373485
188.0,127474
260.0,137909
166.0,1719392
179.0,134353
157.0,51950
152.0,310364
116.0,398530
65.0,311365
97.0,242281
197.0,80798
243.0,110000
182.0,34805
145.0,411006
195.0,50710
83.0,36951
183.0,9813
72.0,72112
36.0,84503
205.0,50024
258.0,30799
253.0,1641
77.0,36627
1.0,41902
119.0,32839
106.0,41579
196.0,43361
8.0,3075
241.0,24826
167.0,35152
180.0,15339
20.0,15945
122.0,14004
5.0,1634
259.0,21314
120.0,3018
154.0,3325
11.0,10281
6.0,3003
206.0,1137
172.0,633
23.0,4585
214.0,1486
245.0,430
110.0,3
104.0,1
